ISO3,Gini_Index,Wealth_Top10_Share,Corruption_Control,Poverty_Rate,Child_Poverty_Rate,House_Price_to_Income,Household_Debt_to_Income,Unemployment_Rate,Edu_Pub_Exp_GDP,Health_OOP_Perc,Suicide_Rate,Family_Trust_Raw,Family_Importance_Raw,One_Person_HH_Perc,Infant_Mortality_Rate,Homicide_Rate
CIV,35.3,61.64571428571429,-0.3595496006309987,20.9,,,,2.36325,3.480318814516069,29.4941635125,,,,13.182,47.7875,
CMR,42.2,61.44928571428573,-1.1456483751535411,26.7,,,,3.700125,2.8285701922350324,69.47315216000001,,,,14.72,42.3625,6.035372206065097
COD,44.7,62.475,-1.5217813402414335,85.3,,,,4.7006250000000005,2.7431133458509223,38.2499351475,,,,5.928,45.6375,
COG,,67.375,-1.3691672086715714,,,,,20.49575,3.293734699107889,24.967381475000003,,,,12.0025,28.3625,
COK,,,,,,,,,,,,,,15.26,,
COL,54.225,70.15857142857143,-0.3224230967462063,9.2625,36.0,99.1998558935605,40.82000000000001,11.168875,5.26166009902954,14.421052813750002,5.423992,,1.1566916961130742,8.19090909090909,11.225,24.72177673742201
COM,,62.54928571428572,-1.1212298870086654,,,,,3.950125,2.360258627099185,51.392662045,,,,2.45,36.6125,
CPV,,61.36928571428574,0.9652077630162242,,,,,12.63025,5.0115703337226325,24.58778,,,,,11.4375,6.99464423976475
CRI,47.3875,65.00642857142857,0.5848040208220482,1.85,27.0,,,10.940124999999998,6.438699960708615,21.4184737175,7.492456150000001,,,8.638571428571428,8.8875,14.967823679217725
CSS,,,,,,,,8.433635575346134,3.081652432680128,37.11324802068636,,,,,17.245001192335536,
CUB,,58.91785714285714,-0.0682531367056072,,,,,1.859,9.44810187261202,9.8955931675,10.026297,,,16.058,6.3375,
CUW,,61.72928571428571,,,,,,,5.833045223494736,,,,,,,
CYM,,61.73500000000001,0.4465867839753628,,,,,,1.503348767757415,,,,,32.57,,4.3677976836113
CYP,31.65,62.2042857142857,0.361635860055685,0.0,,,,6.659000000000001,5.0297099351882935,16.0583777425,3.21374025,,1.0742200328407223,17.9025,2.8125,0.8549571539004786
CZE,25.875,58.03142857142857,0.6960125342011453,0.0125,9.2,109.3876710439972,56.90285714285714,2.514625,4.470627427101135,13.55251920125,9.338467625,1.2440347071583515,1.1876339149066422,28.1575,2.1875,0.7347155287439268
DEU,32.4,58.59,1.7377072572708123,0.2,14.2,108.27489192917452,77.83142857142856,3.248375,5.340417504310608,11.31555724125,7.5085526,,1.2236910994764398,37.95333333333334,3.1,0.8800013180418004
DJI,,61.63071428571431,-0.7835203632712368,,,,,26.576375,,30.24460173,,,,2.72,45.6875,
DMA,,61.73285714285714,0.5451876223087313,,,,,,5.159553322462299,27.15974617,,,,,32.6625,25.27449726817915
DNK,29.25,50.33285714285714,2.359918296337126,0.3,6.1,101.84476916333288,188.39857142857144,4.990500000000001,6.764159798622132,13.43776238,7.33432315,,,,3.075,0.8477988334592786
DOM,38.2125,63.635000000000005,-0.5023647025227549,1.225,,,,5.882,3.795312451930905,25.8478112225,,,1.144578313253012,12.338333333333331,29.0,10.958567229503984
DZA,,61.03857142857143,-0.6170129776000979,,,,,12.397875,5.455884028967736,44.9959402075,,,1.078883495145631,1.0750000000000002,19.925,1.3972703866503888
EA,,,,,,106.37513652546816,95.48714285714289,,,,,,,,,
EA17,,,,,,106.3090961850975,,,,,,,,,,
EAP,,,,,,,,4.102426090537017,2.842520520646708,33.81366668160362,,,,,12.425974837484276,
EAR,,,,,,,,5.833195442991315,3.5359574076387417,33.40749267179997,,,,,26.46565051706473,
EAS,,,,2.3625000000000003,,,,3.9942440033192144,3.2652985337966296,25.34526190011936,,,,,11.7375,0.8875
ECA,,,,,,,,7.911382457792309,3.8367119133472425,33.99211606744393,,,,,11.8894844180639,
ECS,,,,0.675,,,,6.011016246305863,4.67581993341446,15.731693255219394,,,,,6.65,2.1625
ECU,45.3125,59.30428571428571,-0.618572488427162,5.1625,,,,4.030125,3.835170030593871,31.8429689425,5.9307886,,1.07375,9.268333333333333,11.2,32.45645433440828
EGY,28.5,61.647857142857134,-0.7331828624010084,1.4,,,,7.429875,,55.468361855,,,1.028949167996353,5.622727272727273,16.6,
EMU,,,,,,,,6.910265460104095,5.072227478027342,14.076271280380745,,,,,3.021894069783285,
ERI,,59.14714285714288,-1.3829598724842076,,,,,5.749875,,51.7126951225,,,,,26.2375,
ESP,33.7,57.112857142857145,0.6644433289766312,0.8250000000000001,22.1,111.69384521441164,76.51714285714286,13.107875,4.708849906921388,19.357996465,6.171110275,1.123994638069705,1.1541878172588833,19.1,2.6,0.6780225738097256
EST,31.2375,66.21928571428572,1.541167974472045,0.3625,15.2,97.68702679552648,,6.2235,5.267907381057743,22.46962929,12.352794625,,1.1880643894778171,30.066666666666663,1.675,1.7772153404457551
